INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21216312, 'Rosï¿½rio', 'Mourinho', 'Castelo Branco    Sertã    Cernache do Bonjardim    3 283     7 206', 'Procurador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11119312, 'Joyce', 'Nunes', 'Porto    Paços de Ferreira    Codessos    856    210', 'Engenheiro mecânico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (24335135, 'Salvador', 'Machado', 'Viseu    Viseu    Campo    4 358     1 548', 'Especialista em inteligência artificial');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (15253131, 'Emanuela', 'Liberato', 'Bragança    Mirandela    Valverde    198    1 759', 'Maquinista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11278131, 'Alessandra', 'Pereira', 'Faro    Vila Real de Santo António    Monte Gordo    3 952     412', 'Engenheiro industrial');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (14591423, 'Ludovico', 'Maciel', 'Bragança    Macedo de Cavaleiros    Murçós    206    2 123', 'Piloto');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (12753311, 'Clodoaldo', 'Liberato', 'Santarem    Abrantes    Vale das Mós    747    2 342', 'Técnico ambiental');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (43811547, 'Lourenï¿½o', 'Alves', 'Coimbra    Coimbra    Sta. Clara    9 637     977', 'Juiz');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (22612313, 'Cï¿½ndida', 'Camarinho', 'Castelo Branco    Fundão    Bogas de Baixo    275    3 390', 'Designer gráfico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (31441711, 'Melinda', 'Letras', 'Açores    Angra do Heroísmo    Serreta    374    1 437', 'Personal trainer');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41211123, 'Vinicios', 'Assunção', 'Açores    Angra do Heroísmo    S. Bento    1 968     866', 'Gestor de projetos IT');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11617891, 'Leopoldina', 'Pestana', 'Bragança    Bragança    Milhão    205    2 821', 'Tradutor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11921121, 'Manuela', 'Mariz', 'Porto    Felgueiras    Pinheiro    995    332', 'Gestor de transportes');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (15315117, 'Neusa', 'Salgueiro', 'Braga    Vila Nova de Famalicão    Joane    7 528     725', 'Militar');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11936411, 'ï¿½lia', 'Negrão', 'Viana do castelo    Ponte de Lima    Sta. Cruz do Lima    532    251', 'Militar');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41715221, 'Pilar', 'Lousã', 'Porto    Baião    Ancede    2 618     1 183', 'Contabilista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (49521481, 'Evelise', 'Cortesão', 'Aveiro    Arouca    Urrô    1 206     1 018', 'Notário');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11132217, 'Faustino', 'Veleda', 'Lisboa    Lourinhã    Reguengo Grande    1 562     1 552', 'Gestor de transportes');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (45641222, 'Aida', 'Penha', 'Porto    Baião    Loivos do Monte    395    981', 'Músico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (25885183, 'Nï¿½bia', 'Peseiro', 'Évora    Portel    Santana    628    4 189', 'Técnico de radiologia');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (19297322, 'Florival', 'Monteiro', 'Lisboa    Lisboa    S. Cristovão e S. Lourenço    1 612     8', 'Agricultor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (66924919, 'Melanie', 'Afonso', 'Viana do castelo    Valença    Gondomil    344    1 000', 'Canalizador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (25426115, 'Cristina', 'Azenha', 'Viana do castelo    Melgaço    Parada do Monte    487    2 732', 'Fisioterapeuta');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (45127497, 'Alberta', 'Forte', 'Vila Real    Montalegre    Paradela    221    1 234', 'Formador profissional');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (86193211, 'Amï¿½rico', 'Berenguer', 'Açores    Ribeira Grande    Pico da Pedra    2 426     656', 'Pedreiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41111318, 'Graziela', 'Rosmaninho', 'Faro    Lagos    Odiáxere    2 522     3 183', 'Biólogo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (14153168, 'Rosa', 'Reis', 'Porto    Paredes    Madalena    1 725     116', 'Especialista em cibersegurança');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (91535136, 'Perceu', 'Costa', 'Viseu    Sátão    Romãs    1 099     3 374', 'Técnico de análises clínicas');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (29232211, 'Neli', 'Boeira', 'Viseu    Lamego    Bigorne    39    508', 'Gestor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (62255143, 'Capitolina', 'Pontes', 'Braga    Vila Nova de Famalicão    Lemanhe    1 427     267', 'Especialista em marketing digital');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (62333132, 'Alma', 'Maia', 'Viseu    Vouzela    Carvalhal de Vermilhas    229    810', 'Cuidador de idosos');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (81272154, 'Josï¿½', 'Marino', 'Braga    Braga    Parada de Tibães    798    140', 'Cozinheiro / chef');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11252286, 'Josï¿½lia', 'Póvoas', 'Braga    Amares    Bouro (Sta. Maria)    909    680', 'Gestor de transportes');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11811112, 'Idalï¿½cio', 'Mieiro', 'Guarda    Aguiar da Beira    Dornelas    769    1 396', 'Biólogo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (81465854, 'Isaura', 'Rosário', 'Viana do castelo    Monção    Mazedo    1 428     735', 'Gestor de marketing');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (24172725, 'Clï¿½lia', 'Paz', 'Lisboa    Lisboa    Carnide    21 097     402', 'Médico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (14451471, 'Herculano', 'Lagos', 'Viana do castelo    Monção    Sago    266    281', 'Relações públicas');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (93143221, 'Olï¿½mpia', 'Norões', 'Faro    Silves    S. Bartolomeu de Messines    8 491     24 641', 'Influenciador digital');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (92129311, 'Dï¿½lia', 'Pena', 'Vila Real    Mondim de Basto    Atei    1 421     2 431', 'Especialista em cibersegurança');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (13176314, 'Emanuel', 'Malho', 'Porto    Paredes    Lordelo    9 930     925', 'Bombeiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41113823, 'Leonor', 'Teles', 'Braga    Barcelos    Vilar de Figos    651    376', 'Programador / Desenvolvedor de software');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (48326519, 'Milene', 'Granjeia', 'Lisboa    Sintra    Colares    7 472     3 307', 'Investigador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (71411142, 'Iara', 'Seixas', 'Porto    Santo Tirso    Rebordões    3 559     572', 'Especialista em inteligência artificial');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (32519114, 'Milene', 'Freiria', 'Leiria    Alcobaça    Cela    3 426     2 623', 'Babysitter');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (53438368, 'Fabiano', 'Severiano', 'Bragança    Macedo de Cavaleiros    Ferreira    222    1 957', 'Serralheiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (14472214, 'Norberto', 'Galvão', 'Viana do castelo    Arcos de Valdevez    Parada    321    185', 'Engenheiro civil');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (34312249, 'Gabriela', 'Braz', 'Vila Real    Chaves    Seara Velha    187    970', 'Economista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (12745341, 'Adalberto', 'Mafra', 'Leiria    Batalha    S. Mamede    3 513     4 038', 'Guarda prisional');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (18326421, 'Naum', 'Berenguer', 'Viana do castelo    Ponte da Barca    Vila Chã (S. João Baptista)    601    1 011', 'Esteticista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (62531321, 'Isaura', 'Rodrigues', 'Faro    Lagoa (Algarve)    Lagoa    6 059     2 567', 'Engenheiro mecânico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (43548176, 'Bernardo', 'Gentil', 'Aveiro    Arouca    Canelas    864    2 089', 'Serralheiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (81512919, 'Nilda', 'Baía', 'Braga    Esposende    Belinho    2 146     737', 'Solicitador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21141413, 'Leandro', 'Saldanha', 'Guarda    Trancoso    Palhais    187    423', 'Veterinário');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (24111971, 'Glï¿½ria', 'Gois', 'Viseu    Tarouca    Gouviães    481    262', 'Barman');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (96851612, 'Clï¿½udia', 'Vaz', 'Bragança    Macedo de Cavaleiros    Vale de Prados    413    881', 'Operador logístico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (32125526, 'Edmar', 'Galvão', 'Braga    Vieira do Minho Tabuaças    901    800', 'Esteticista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (61351978, 'ï¿½nio', 'Martins', 'Lisboa    Sintra    Sintra (Sta. Maria e S. Miguel)    9 274     1 153', 'Maquinista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (39152412, 'Hamilton', 'Matoso', 'Aveiro    Castelo de Paiva    Pedorido    1 593     1 196', 'Babysitter');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41966211, 'Genoveva', 'Estrela', 'Bragança    Alfândega da Fé    Alfândega da Fé    2 016     4 455', 'Cuidador de idosos');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (62315554, 'Melissa', 'Carlos', 'Leiria    Pombal    Vermoil    2 855     2 171', 'Técnico ambiental');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (97714321, 'Edmundo', 'Zarco', 'Viana do castelo    Melgaço    Chaviães    431    447', 'Biólogo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (53757294, 'Jï¿½lio', 'Valim', 'Viseu    Moimenta da Beira    Pêra Velha    264    1 311', 'Soldador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11121641, 'Wagner', 'Vidal', 'Bragança    Carrazeda de Ansiães    Beira Grande    194    1 698', 'Especialista em cibersegurança');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (35314334, 'Edmundo', 'Albernaz', 'Guarda    Guarda    Ribeira dos Carinhos    136    888', 'Médico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (71266182, 'Adalgisa', 'Palma', 'Vila Real    Valpaços    Alvarelhos    172    1 283', 'Advogado');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (45216224, 'Cristï¿½vï¿½o', 'Gama', 'Castelo Branco    Covilhã    Cortes do Meio    969    4 819', 'Técnico de manutenção');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41133551, 'Beatriz', 'Bernardes', 'Bragança    Mirandela    Avantos    123    1 289', 'Técnico ambiental');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (12142271, 'Jade', 'Lousado', 'Viana do castelo    Monção    Parada    112    176', 'Guarda prisional');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (43242737, 'Graziela', 'Castilho', 'Braga    Barcelos    Bastuço (Santo Estevão)    456    193', 'Eletricista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (24582316, 'Ana', 'Albuquerque', 'Vila Real    Vila Pouca de Aguiar    Sta. Marta da Montanha    195    1 312', 'Biólogo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (25151163, 'Violante', 'Villar', 'Viana do castelo    Ponte da Barca    Touvedo (Salvador)    173    220', 'Administrador de sistemas');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (24432151, 'Marcos', 'Bulhões', 'Viana do castelo    Melgaço    Roussas    1 139     946', 'Piloto');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (69193511, 'Neli', 'Pires', 'Coimbra    Coimbra    Vil de Matos    775    820', 'Diretor de hotel');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (48592282, 'Ester', 'Negreiros', 'Porto    Gondomar    Caíde de Rei    2 636     666', 'Músico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11211725, 'Alzira', 'Figueiredo', 'Faro    Silves    Pêra    1 951     2 026', 'Notário');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (83127131, 'Rosï¿½rio', 'Soverosa', 'Viana do castelo    Arcos de Valdevez    Jolda (S. Paio)    421    176', 'Estafeta');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (22141164, 'Bruna', 'Moreno', 'Coimbra    Lousã    Lousã    10 395     5 739', 'Militar');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (25358522, 'Manuel', 'Vides', 'Bragança    Miranda do Douro    Ifanes    205    2 851', 'Juiz');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21123974, 'Filipa', 'Prado', 'Lisboa    Oeiras    Linda-a-Velha    21 952     232', 'Engenheiro informático');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (32374831, 'Geralda', 'Barateiro', 'Santarem    Santarem    Almoster    1 827     4 084', 'Programador / Desenvolvedor de software');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (28432341, 'Dï¿½ris', 'Peçanha', 'Leiria    Pombal    Vila Cã    1 725     3 035', 'Militar');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (33551238, 'Antï¿½nia', 'Onofre', 'Castelo Branco    Belmonte    Belmonte    3 227     2 732', 'Cozinheiro / chef');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (34819113, 'Mï¿½rcio', 'Porto', 'Porto    Amarante    Telões    4 535     1 386', 'Pescador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (62512764, 'Belmiro', 'Reis', 'Castelo Branco    Belmonte    Belmonte    3 227     2 732', 'Tradutor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11578197, 'Durval', 'Inácio', 'Vila Real    Boticas    Bobadela    354    1 478', 'Enfermeiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (71611111, 'Palmira', 'Trigueiro', 'Guarda    Fornos de Algodres    Infias    280    274', 'Gestor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (16531316, 'Nazarï¿½', 'Bencatel', 'Leiria    Caldas da Rainha    Coto    1 135     550', 'Ator');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11716242, 'Augusta', 'Brião', 'Madeira    Calheta (Madeira)    Jardim do Mar    252    255', 'Juiz');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (65491328, 'Matilde', 'Villena', 'Aveiro    Aveiro    Requeixo    1 198     1 180', 'Nutricionista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (51117217, 'Denise', 'Paiva', 'Vila Real    Vila Real    Quinta    148    419', 'Rececionista de hotel');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (51353453, 'Lisandra', 'Campelo', 'Porto    Lousada    Covas    763    129', 'Enfermeiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11221281, 'Cosme', 'Paranhos', 'Bragança    Bragança    Nogueira    431    1 365', 'Pintor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (72263161, 'Cremilda', 'Valente', 'Coimbra    Vila Nova de Poiares    Arrifana    1 603     2 411', 'Analista de dados');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41346791, 'Anastï¿½cio', 'Carvalhosa', 'Porto    Lousada    Ordem    1 294     273', 'Videógrafo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (31117151, 'Victor', 'Guerreiro', 'Aveiro    Vagos    Vagos    4 010     2 158', 'Pedreiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (71176112, 'Ester', 'Telinhos', 'Castelo Branco    Belmonte    Colmeal da Torre    894    731', 'Canalizador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (44252172, 'Priscila', 'Penha', 'Açores    Nordeste    Santana    449    732', 'Barman');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11349381, 'Geralda', 'Mieiro', 'Guarda    Fornos de Algodres    Casal Vasco    269    644', 'Canalizador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (13631121, 'Nei', 'Sousa do Prado', 'Vila Real    Vila Real    Borbela    2 557     1 209', 'Gestor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21985385, 'Clodoaldo', 'Faia', 'Coimbra    Arganil    Sarzedo    731    1 159', 'Polícia');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (32317632, 'Djalma', 'Bentes', 'Santarem    Mação    Carvoeiro    794    4 979', 'Empregado de mesa');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11352311, 'Liane', 'Rebouças', 'Braga    Vila Verde    Vilarinho    395    155', 'Cuidador de idosos');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (39913617, 'Adï¿½lia', 'Salgueiro', 'Santarem    Ourém    Gondemaria    1 280     779', 'Maquinista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (14113111, 'Cosme', 'Martinho', 'Évora    Arraiolos    Sta. Justa    226    4 290', 'Formador profissional');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (25134415, 'Odete', 'Vilanova', 'Évora    Reguengos de Monsaraz    Campo    840    12 941', 'Bombeiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (61149541, 'Eleutï¿½rio', 'Miguel', 'Bragança    Vimioso    Matela    338    4 581', 'Explicador / tutor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (52171111, 'Conceiï¿½ï¿½o', 'Maltez', 'Aveiro    Anadia    Moita    2 733     3 399', 'Formador profissional');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21741221, 'Marta', 'Negreiros', 'Aveiro    Anadia    Aguim    1 227     682', 'Operador logístico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (42371511, 'Constantino', 'Grande', 'Castelo Branco    Vila Velha de Ródão    Perais    589    8 184', 'Gestor de projetos IT');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (22267124, 'Paloma', 'Malheiro', 'Bragança    Mirandela    Valverde    198    1 759', 'Carpinteiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41141423, 'Nicolau', 'Castelão', 'Aveiro    Castelo de Paiva    Pedorido    1 593     1 196', 'Administrador de sistemas');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (71392133, 'Esaï¿½', 'Bragança', 'Lisboa    Oeiras    Algés    19 540     192', 'Auxiliar de ação direta');
