INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (12554151, 'Paulina', 'Campelo', 'Braga    Póvoa de Lanhoso (N. S. do Amparo)    Taíde    1 569     734', 'Pescador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11121622, 'Jonathan', 'Lousado', 'Braga    Amares    Fiscal    638    406', 'Técnico de manutenção');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (13514828, 'Nï¿½vea', 'Cachão', 'Faro    Alcoutim    Giões    307    6 595', 'Empregado de mesa');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (81445168, 'Loreta', 'Paranhos', 'Guarda    Vila Nova de Foz Côa    Sebadelhe    317    780', 'Veterinário');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (12186622, 'Acï¿½cio', 'Vargas', 'Castelo Branco    Covilhã    Vale Formoso    640    1 149', 'Professor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21142255, 'Yara', 'Barbalho', 'Braga    Fafe    Golães    2 157     490', 'Contabilista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11332344, 'Sandra', 'Varela', 'Guarda    Guarda    Gonçalo    1 207     1 543', 'Empregado de mesa');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (28146612, 'Talita', 'Rêgo', 'Viseu    Armamar    Cimbres    374    587', 'Técnico de análises clínicas');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (25121133, 'Lauro', 'Reis', 'Aveiro    Albergaria-a-Velha    Branca    5 500     3 022', 'Carpinteiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (16117415, 'Sebastiï¿½o', 'Fonseca', 'Viana do castelo    Melgaço    Paços    379    480', 'Pedreiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21121375, 'Sidney', 'Rangel', 'Madeira    Ponta do Sol    Ponta do Sol    4 224     2 820', 'Auxiliar de ação direta');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11251731, 'Maurï¿½cio', 'Carrasco', 'Porto    Penafiel    Valpedre    1 501     631', 'Fotógrafo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21233725, 'Amado', 'Vilarinho', 'Porto    Lousada    Ordem    1 294     273', 'Assistente dentário');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (39575517, 'Virgï¿½nia', 'Félix', 'Vila Real    Peso da Régua    Peso da Régua    5 080     576', 'Especialista em marketing digital');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (51126213, 'Lilian', 'Borba', 'Santarem    Mação    Ortiga    627    1 595', 'Rececionista de hotel');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (32395152, 'Vitorino', 'Tomé', 'Guarda    Almeida    Peva    140    1 453', 'Técnico de radiologia');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21334412, 'Glï¿½ria', 'Açores', 'Braga    Celorico de Basto    Rego    1 184     1 623', 'Cuidador de idosos');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (14537127, 'Faustino', 'Cidreira', 'Porto    Maia    Folgosa    3 603     1 030', 'Relações públicas');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (24285115, 'Evangelina', 'Pedrozo', 'Vila Real    Vila Pouca de Aguiar    Afonsim    223    1 254', 'Técnico de recursos humanos');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (31421436, 'ï¿½urea', 'Quaresma', 'Castelo Branco    Fundão    Capinha    620    5 192', 'Maquinista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (14223117, 'Florï¿½ncia', 'Bezerril', 'Porto    Felgueiras    Varziela    1 985     280', 'Técnico ambiental');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (51131231, 'Cristï¿½vï¿½o', 'Palhares', 'Porto    Amarante    Amarante (S. Gonçalo)    6 503     475', 'Piloto');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (33172712, 'Nisa', 'Albuquerque', 'Faro    Lagoa (Algarve)    Lagoa    6 059     2 567', 'Gestor de e-commerce');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (51677124, 'Ismael', 'Queirós', 'Bragança    Vinhais    Vale das Fontes    430    1 665', 'Especialista em cibersegurança');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (63266124, 'Florï¿½ncia', 'Pêcego', 'Guarda    Guarda    Seixo Amarelo    126    1 203', 'Fisioterapeuta');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (85622121, 'Natï¿½rcia', 'Ataíde', 'Braga    Vila Nova de Famalicão    Esmeriz    1 905     375', 'Analista de investimentos');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (19426942, 'Lauro', 'Barra', 'Vila Real    Vila Real    Adoufe    2 067     1 594', 'Guarda prisional');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21314112, 'Graciete', 'Marins', 'Bragança    Vinhais    Vilar de Ossos    344    1 635', 'Engenheiro industrial');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11951777, 'Sandro', 'Figueira', 'Braga    Fafe    Cepães    1 590     383', 'Contabilista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (15831831, 'Sueli', 'Fidalgo', 'Viseu    Viseu    Calde    1 647     3 836', 'Investigador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (57232289, 'Arnaldo', 'Faustino', 'Coimbra    Penacova    Friúmes    685    1 474', 'Psicólogo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41471524, 'Gonï¿½alo', 'Valverde', 'Madeira    Câmara de Lobos    Câmara de Lobos    16 842     762', 'Maquinista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (39815311, 'Pablo', 'Fraga', 'Porto    Lousada    Barrosas (Santo Estevão)    933    470', 'Diretor de hotel');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41367156, 'Anacleto', 'Simas', 'Beja    Aljustrel    Ervidel    1 309     3 871', 'Juiz');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (24127112, 'Romeu', 'Padilla', 'Faro    Silves    S. Marcos da Serra    1 535     15 490', 'Auditor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (55199411, 'Antï¿½nio', 'Damascena', 'Viana do castelo    Monção    Troviscoso    1 089     537', 'Engenheiro informático');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (23618711, 'Pilar', 'Saltão', 'Vila Real    Montalegre    Padroso    119    903', 'Notário');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (27916315, 'Nilton', 'Picanço', 'Braga    Guimarães    Lordelo    4 641     490', 'Freelancer');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (48116273, 'Consuelo', 'Guimarães', 'Braga    Barcelos    Panque    750    681', 'Gestor de marketing');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (37145231, 'Nazï¿½rio', 'Dorneles', 'Viseu    Sernancelhe    Granjal    305    1 684', 'Biólogo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (79176311, 'Juliano', 'Rebotim', 'Porto    Maia    Avioso (Sta. Maria)    3 360     464', 'Tradutor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (33711112, 'Adosinda', 'Castelo', 'Aveiro    Vagos    Fonte de Angeão    1 245     955', 'Programador / Desenvolvedor de software');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (23322224, 'Marcela', 'Campelo', 'Bragança    Moncorvo    Maçores    223    1 601', 'Personal trainer');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (94812418, 'Lï¿½vio', 'Barroqueiro', 'Évora    Évora    Évora (S. Mamede)    2 171     23', 'Programador / Desenvolvedor de software');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (22146421, 'Rafaela', 'Benevides', 'Lisboa    Loures    S. Julião do Tojal    3 600     1 328', 'Advogado');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (74145112, 'Sueli', 'Caeiro', 'Leiria    Óbidos    Olho Marinho    1 258     1 832', 'Polícia');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (51622457, 'Efigï¿½nia', 'Pedro', 'Porto    Gondomar    Meinedo    4 278     843', 'Assistente social');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (22111263, 'Joyce', 'Areosa', 'Porto    Vila Nova de Gaia    S. Felix da Marinha    11 171     900', 'Técnico de recursos humanos');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (12122618, 'Abel', 'Mattos', 'Castelo Branco    Penamacôr    Sobreira Formosa    2 116     8 501', 'Educador de infância');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41323359, 'Afonso', 'Pinhal', 'Faro    Faro    Faro (Sé)    28 546     6 033', 'Babysitter');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (19821616, 'Dores', 'Borges', 'Bragança    Macedo de Cavaleiros    Ala    497    3 376', 'DevOps engineer');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (73131434, 'Marisela', 'Leitão', 'Aveiro    Ovar    S. Vicente de Pereira Jusã    2 400     947', 'Motorista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (31151213, 'Fï¿½tima', 'Sabrosa', 'Castelo Branco    Idanha-a-Nova    Monfortinho    608    5 318', 'Engenheiro informático');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (23161113, 'Nilton', 'Villar', 'Açores    Ponta Delgada    Fajã de Cima    3 634     1 189', 'Empregado de mesa');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (31321333, 'Antero', 'Iglesias', 'Viana do castelo    Paredes de Coura    Vascões    237    697', 'Ator');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (51122413, 'Dulce', 'Guedelha', 'Porto    Matosinhos    Custóias    18 065     578', 'Fisioterapeuta');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (12252162, 'Jorge', 'Lustosa', 'Aveiro    Castelo de Paiva    Raiva    2 394     1 210', 'Engenheiro eletrotécnico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (47165511, 'Venï¿½ncio', 'Cidreira', 'Viseu    Penalva do Castelo    Ínsua    2 045     968', 'Procurador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (28151211, 'Ivan', 'Muniz', 'Açores    Madalena    S. Caetano    550    2 436', 'Agricultor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (91532776, 'Lita', 'Canadas', 'Coimbra    Cantanhede    Cantanhede    7 066     4 653', 'Operador de máquinas');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (19136174, 'Fï¿½bio', 'Moura', 'Porto    Felgueiras    Vila Cova da Lixa    3 150     460', 'Especialista em inteligência artificial');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (14337762, 'Lisandra', 'Valente', 'Setúbal    Seixal    Corroios    46 475     1 692', 'Engenheiro informático');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41511161, 'Guilhermina', 'Coelho', 'Santarem    Ourém    Ribeira do Fárrio    900    2 092', 'Videógrafo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (59121123, 'Xï¿½nia', 'Norões', 'Viseu    Castro Daire    Almofala    280    1 875', 'Polícia');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (84612215, 'Brandon', 'Bonilha', 'Évora    Reguengos de Monsaraz    Campinho    917    4 711', 'Personal trainer');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41312311, 'Pablo', 'Grillo', 'Vila Real    Chaves    Soutelinho da Raia    192    724', 'Dentista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21519686, 'Argeu', 'Lousada', 'Vila Real    Montalegre    Meixide    127    1 217', 'Cabeleireiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (16212116, 'Rui', 'Saraiva', 'Bragança    Vimioso    Pinelo    271    3 313', 'Veterinário');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (27512514, 'Orlanda', 'Bastos', 'Lisboa    Vila Franca de Xira    S. João dos Montes    4 409     1 799', 'Pintor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (28754111, 'Fernanda', 'Soto', 'Guarda    Guarda    Carvalhal Meão    67    766', 'Canalizador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21219214, 'Yuri', 'Torquato', 'Porto    Porto    Cedofeita    24 784     266', 'Empregado de mesa');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (18581815, 'Yuri', 'Sarmento', 'Braga    Vieira do Minho Tabuaças    901    800', 'Técnico ambiental');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (81169711, 'Aldino', 'Corvelo', 'Viseu    Mortágua    Mortágua    2 797     2 738', 'Soldador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21512556, 'Odair', 'Resende', 'Lisboa    Azambuja    Vale do Paraíso    1 040     445', 'Educador social');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (74151531, 'Osvaldo', 'Valgueiro', 'Guarda    Seia    Sabugueiro    570    4 647', 'Assistente social');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (19119511, 'Renata', 'Cambezes', 'Santarem    Vila Nova da Barquinha    Tancos    295    156', 'Economista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (33111177, 'Norma', 'Ferro', 'Bragança    Vinhais    Edral    265    2 647', 'Músico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (28711183, 'Sabrina', 'Monforte', 'Setúbal    Setúbal    Setúbal (S. Julião)    17 070     408', 'Enfermeiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (23121997, 'Luciana', 'Calheiros', 'Braga    Amares    Seramil    223    390', 'Motorista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (68483574, 'Urbano', 'Silva', 'Viana do castelo    Viana do Castelo    Amonde    344    604', 'Relações públicas');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (19677163, 'Evelise', 'Marroquim', 'Vila Real    Chaves    Bustelo    517    817', 'Fisioterapeuta');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (23412161, 'Ari', 'Grillo', 'Viana do castelo    Caminha    Seixas    1 578     440', 'Técnico administrativo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (63119114, 'Olï¿½vio', 'Souto Maior', 'Castelo Branco    Penamacôr    Meimão    347    3 322', 'Tradutor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (19121115, 'Evelina', 'Lages', 'Madeira    Calheta (Madeira)    Fajã da Ovelha    1 016     2 400', 'Serralheiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (18111244, 'Eulï¿½lia', 'Pádua', 'Madeira    Ponta do Sol    Ponta do Sol    4 224     2 820', 'Serralheiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (23153737, 'Rute', 'Nunes', 'Lisboa    Mafra    Gradil    901    744', 'Rececionista de hotel');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (34594714, 'Volney', 'Temes', 'Viseu    S. João da Pesqueira    Espinhosa    161    770', 'Cozinheiro / chef');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (92243341, 'Ariana', 'Pestana', 'Açores    Povoação    Água Retorta    497    1 497', 'DevOps engineer');
